Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Priority,Ticket Channel,First Response Time
1,32,Other,GoPro Hero,2021-03-22,Technical issue,Product setup,Critical,Social media,2023-06-01 12:15:36
2,42,Female,LG Smart TV,2021-05-22,Technical issue,Peripheral compatibility,Critical,Chat,2023-06-01 16:45:38
3,48,Other,Dell XPS,2020-07-14,Technical issue,Network problem,Low,Social media,2023-06-01 11:14:38
4,27,Female,Microsoft Office,2020-11-13,Billing inquiry,Account access,Low,Social media,2023-06-01 07:29:40
5,67,Female,Autodesk AutoCAD,2020-02-04,Billing inquiry,Data loss,Low,Email,2023-06-01 00:12:42
9,60,Other,Fitbit Versa Smartwatch,2020-07-16,Technical issue,Installation support,Low,Social media,2023-06-01 10:32:47
10,27,Male,Dyson Vacuum Cleaner,2020-03-06,Refund request,Payment issue,Critical,Phone,2023-06-01 09:25:48
11,48,Male,Nintendo Switch,2021-01-19,Cancellation request,Data loss,High,Phone,2023-06-01 17:46:49
12,51,Male,Microsoft Xbox Controller,2021-10-24,Product inquiry,Software bug,High,Chat,2023-06-01 12:05:51
13,27,Other,Nintendo Switch Pro Controller,2021-05-26,Technical issue,Hardware issue,Low,Chat,2023-06-01 19:03:53
14,65,Other,Nest Thermostat,2020-07-13,Technical issue,Product setup,Low,Chat,2023-06-01 20:34:54
15,48,Female,Sony PlayStation,2020-02-29,Billing inquiry,Product setup,High,Chat,2023-06-01 06:22:55
16,18,Other,GoPro Action Camera,2021-06-24,Billing inquiry,Product recommendation,High,Social media,2023-06-01 15:09:57
17,63,Other,Xbox,2021-10-13,Product inquiry,Account access,Critical,Chat,2023-06-01 19:46:59
18,56,Female,Microsoft Xbox Controller,2020-09-07,Product inquiry,Payment issue,High,Chat,2023-06-01 21:05:01
20,39,Female,Canon EOS,2021-03-08,Refund request,Software bug,Low,Chat,2023-06-01 00:46:04
21,28,Other,HP Pavilion,2021-05-31,Refund request,Payment issue,High,Chat,2023-06-01 05:08:05
22,66,Male,Fitbit Versa Smartwatch,2020-02-04,Cancellation request,Installation support,Critical,Social media,2023-05-31 23:57:07
24,63,Female,Nintendo Switch Pro Controller,2021-08-06,Technical issue,Refund request,Low,Social media,2023-06-01 09:06:09
26,35,Other,HP Pavilion,2021-07-05,Product inquiry,Refund request,Medium,Social media,2023-06-01 19:02:12
27,22,Other,Lenovo ThinkPad,2020-05-02,Billing inquiry,Cancellation request,Low,Social media,2023-06-01 20:02:13
29,30,Other,Fitbit Charge,2020-06-10,Technical issue,Product recommendation,Critical,Phone,2023-05-31 23:17:17
30,67,Male,Xbox,2020-12-26,Cancellation request,Cancellation request,Medium,Phone,2023-06-01 00:54:17
32,60,Male,GoPro Action Camera,2021-12-20,Technical issue,Product compatibility,Medium,Social media,2023-06-01 06:42:21
